지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C)
90,속초,1968-01,-.7,11.4,-11.4
90,속초,1968-02,-2.1,9.7,-9.9
90,속초,1968-03,5.9,20.5,-3.2
90,속초,1968-04,10.5,21.4,4
90,속초,1968-05,14.6,24.5,9.3
90,속초,1968-06,18.5,29.2,11.4
90,속초,1968-07,22.8,35.8,17.1
90,속초,1968-08,23.3,31.9,16.6
90,속초,1968-09,19.9,27.1,11
90,속초,1968-10,13.3,23.3,6.9
90,속초,1968-11,9.5,20.8,-5.4
90,속초,1968-12,5,16.7,-6.8
90,속초,1969-01,-.9,10.4,-12.2
90,속초,1969-02,-1,13.5,-11.1
90,속초,1969-03,3.5,21.6,-6.1
90,속초,1969-04,10.7,26.6,-.8
90,속초,1969-05,16.3,28.4,9.1
90,속초,1969-06,19.6,29.9,9
90,속초,1969-07,23.3,32.4,15.8
90,속초,1969-08,24.8,33.8,18.6
90,속초,1969-09,19.6,29.1,13.7
90,속초,1969-10,14.6,25.4,5.8
90,속초,1969-11,7.6,20.4,-3.1
90,속초,1969-12,1,12.8,-10.6
90,속초,1970-01,-1.4,9.6,-15.6
90,속초,1970-02,1.8,16.6,-8.4
90,속초,1970-03,1.9,19.4,-5.7
90,속초,1970-04,10.2,21,2.6
90,속초,1970-05,16.5,30,9.2
90,속초,1970-06,18.6,27.8,10.6
90,속초,1970-07,22.2,35.2,12.7
90,속초,1970-08,23.4,32.4,19.2
90,속초,1970-09,20.4,29.9,11
90,속초,1970-10,15,23.4,4.1
90,속초,1970-11,8.1,20.5,-8.7
90,속초,1970-12,2,16.6,-7.8
90,속초,1971-01,-.1,10.4,-9.8
90,속초,1971-02,.1,7.9,-10.1
90,속초,1971-03,3.9,23,-7.7
90,속초,1971-04,11.2,26.4,2.5
90,속초,1971-05,16.4,31.3,4.8
90,속초,1971-06,19.3,30.5,11.7
90,속초,1971-07,23.7,34.5,17.6
90,속초,1971-08,22.6,35.4,16.8
90,속초,1971-09,18.9,25.2,11.9
90,속초,1971-10,14.3,23.4,5
90,속초,1971-11,10.6,23.9,-5.4
90,속초,1971-12,2.6,13,-5.4
90,속초,1972-01,1.8,9.8,-5.6
90,속초,1972-02,-.6,4.8,-7
90,속초,1972-03,4.3,20.2,-6.1
90,속초,1972-04,10.8,28.4,-3.5
90,속초,1972-05,15.5,27.8,7.3
90,속초,1972-06,19.5,33.6,13.1
90,속초,1972-07,23.9,34.4,16.8
90,속초,1972-08,23.7,34.2,16.8
90,속초,1972-09,18.6,25.6,11
90,속초,1972-10,15.1,25,4.9
90,속초,1972-11,7.3,16.9,-5.1
90,속초,1972-12,3.1,14.7,-8.4
90,속초,1973-01,.8,7.8,-9.2
90,속초,1973-02,2.1,12.5,-7.8
90,속초,1973-03,4.7,23.6,-4.2
90,속초,1973-04,12.7,28.2,2.9
90,속초,1973-05,15.2,28.2,6.8
90,속초,1973-06,18,30.8,9.1
90,속초,1973-07,24.6,34.6,17.1
90,속초,1973-08,25.8,34.6,19.3
90,속초,1973-09,19.4,25.8,9.5
90,속초,1973-10,13.9,26,5.2
90,속초,1973-11,7.5,18.8,-3.8
90,속초,1973-12,.6,12.4,-12.1
90,속초,1974-01,-.7,10,-12.6
90,속초,1974-02,-.6,11.3,-11.7
90,속초,1974-03,3.9,14.3,-7.4
90,속초,1974-04,10.8,22.6,.8
90,속초,1974-05,15.4,30.4,7.6
90,속초,1974-06,17.4,33.2,7.8
90,속초,1974-07,18.3,27.3,14
90,속초,1974-08,23.5,33.8,15.3
90,속초,1974-09,20.2,30.4,12.9
90,속초,1974-10,14.4,24.9,.5
90,속초,1974-11,7.4,19,-4.8
90,속초,1974-12,1.5,8.6,-6.8
90,속초,1975-01,-.3,10.2,-9.8
90,속초,1975-02,.1,11.1,-7.8
90,속초,1975-03,4.7,16.5,-4
90,속초,1975-04,10.9,21.9,1.3
90,속초,1975-05,14.9,27.7,6.6
90,속초,1975-06,18.7,30.4,12.8
90,속초,1975-07,23.6,34.1,15.7
90,속초,1975-08,25.3,33.7,17
90,속초,1975-09,21.1,29.2,14.4
90,속초,1975-10,15,23.1,4.8
90,속초,1975-11,9.7,17,-3.9
90,속초,1975-12,2.2,16.4,-7.5
90,속초,1976-01,-.5,11.7,-12.5
90,속초,1976-02,3.1,11.5,-4.8
90,속초,1976-03,6,17.1,-4.5
90,속초,1976-04,11.5,24.8,2.1
90,속초,1976-05,16.8,27.5,7.2
90,속초,1976-06,19.1,26.6,13.9
90,속초,1976-07,22.1,33.2,14.1
90,속초,1976-08,22.3,33.3,16.2
90,속초,1976-09,19.1,29,12.5
90,속초,1976-10,14.7,21.2,.5
90,속초,1976-11,6.5,19.9,-3.7
90,속초,1976-12,2.3,12.8,-14.7
90,속초,1977-01,-3.3,7,-12.5
90,속초,1977-02,-.1,18.7,-14.7
90,속초,1977-03,4.9,21,-11.6
90,속초,1977-04,10.8,25.7,1.9
90,속초,1977-05,15.5,30.9,7.2
90,속초,1977-06,18,28.1,12.6
90,속초,1977-07,23.9,34.4,17.1
90,속초,1977-08,22.9,34.1,16.6
90,속초,1977-09,20.3,30.3,10.2
90,속초,1977-10,16.7,26.1,8.5
90,속초,1977-11,8.4,17.3,-1.9
90,속초,1977-12,4.8,13.7,-5.8
90,속초,1978-01,.1,9.7,-11.1
90,속초,1978-02,-.9,11.1,-13.9
90,속초,1978-03,5.7,19.9,-6.3
90,속초,1978-04,12.2,25.8,1.3
90,속초,1978-05,17,27.7,8.4
90,속초,1978-06,20.5,32.8,14
90,속초,1978-07,24.6,34.7,18.3
90,속초,1978-08,25.1,34.7,17.1
90,속초,1978-09,20.1,29.7,13.8
90,속초,1978-10,14.7,28.8,4
90,속초,1978-11,9.5,19.4,-2.6
90,속초,1978-12,4.3,15.1,-7.5
90,속초,1979-01,3.2,14.8,-8.5
90,속초,1979-02,3.6,16.4,-9.4
90,속초,1979-03,7.2,16.7,-1.9
90,속초,1979-04,11.1,23.4,1.4
90,속초,1979-05,16.4,31.5,6.4
90,속초,1979-06,20.2,31.5,15
90,속초,1979-07,22.8,34.7,17.3
90,속초,1979-08,24.2,34.6,16
90,속초,1979-09,19.5,27.8,11.3
90,속초,1979-10,16.5,26.8,6.9
90,속초,1979-11,8.4,23,-6.5
90,속초,1979-12,4.7,14.5,-7.1
90,속초,1980-01,-.7,11.6,-13.6
90,속초,1980-02,-.3,13.9,-11.5
90,속초,1980-03,5.5,18.2,-1.3
90,속초,1980-04,9.8,23.8,.9
90,속초,1980-05,17.8,31.9,8.5
90,속초,1980-06,21.5,32.8,14.4
90,속초,1980-07,21,31.1,15.4
90,속초,1980-08,20.8,30.6,15.5
90,속초,1980-09,19.1,27.6,9.8
90,속초,1980-10,13.5,26.2,.4
90,속초,1980-11,10.3,20.3,-.1
90,속초,1980-12,-.4,13.8,-11.7
90,속초,1981-01,-2.9,7,-10.4
90,속초,1981-02,-.1,12.4,-16.2
90,속초,1981-03,4.3,18.9,-6.2
90,속초,1981-04,11.7,28.4,2
90,속초,1981-05,14.7,30.6,6.4
90,속초,1981-06,17.2,29.8,6.9
90,속초,1981-07,23.8,35.8,14
90,속초,1981-08,23.2,33.9,16.9
90,속초,1981-09,18.7,27.8,10.1
90,속초,1981-10,14.5,25.8,1
90,속초,1981-11,5.8,16.1,-5.2
90,속초,1981-12,3,11.5,-7.9
90,속초,1982-01,-.9,13.1,-12.3
90,속초,1982-02,.7,13.9,-11.7
90,속초,1982-03,6,16.9,-5.2
90,속초,1982-04,10.9,22.4,.5
90,속초,1982-05,16.4,29.6,7
90,속초,1982-06,19.7,32.6,10
90,속초,1982-07,22.9,31.2,15.8
90,속초,1982-08,24.2,31.7,17
90,속초,1982-09,19.9,29.6,11.6
90,속초,1982-10,15.9,28.9,-.3
90,속초,1982-11,9.1,19.1,-4.3
90,속초,1982-12,2.6,11.8,-7.3
90,속초,1983-01,.8,13.7,-10.4
90,속초,1983-02,-.5,9.6,-10.7
90,속초,1983-03,4.1,13.1,-5.8
90,속초,1983-04,12,29.1,.8
90,속초,1983-05,16.4,30.1,4.6
90,속초,1983-06,17.4,33.4,11.5
90,속초,1983-07,21.3,34.7,14.2
90,속초,1983-08,24.4,35.8,16.7
90,속초,1983-09,20.7,29.7,12.1
90,속초,1983-10,14.7,26.7,3.2
90,속초,1983-11,8.3,20.4,-4.1
90,속초,1983-12,1.9,13.5,-10.2
90,속초,1984-01,-2.9,5.5,-10.5
90,속초,1984-02,-1.7,6.5,-12.9
90,속초,1984-03,3.2,17.7,-4.9
90,속초,1984-04,7.5,19,-.5
90,속초,1984-05,14.3,26.7,6.3
90,속초,1984-06,20.1,30,15.3
90,속초,1984-07,22.7,32.1,17.6
90,속초,1984-08,25.3,35.6,18.9
90,속초,1984-09,19.8,26.2,14
90,속초,1984-10,14.7,24.5,2.2
90,속초,1984-11,10.1,22.8,-2
90,속초,1984-12,1.7,13.8,-10
90,속초,1985-01,-2.4,7.4,-13.4
90,속초,1985-02,1.7,13.2,-8.3
90,속초,1985-03,5,13,-4.8
90,속초,1985-04,11.2,28.1,2.1
90,속초,1985-05,16,26.2,7.4
90,속초,1985-06,18.7,27.3,10.2
90,속초,1985-07,24.7,34.7,18.2
90,속초,1985-08,24.7,33.9,19.8
90,속초,1985-09,19.9,29.6,11.7
90,속초,1985-10,15.4,26.7,6.4
90,속초,1985-11,7.4,18.3,-2.3
90,속초,1985-12,.1,11.6,-11
90,속초,1986-01,-2.5,9.7,-14.4
90,속초,1986-02,-2,7.4,-11
90,속초,1986-03,3.2,16.4,-3
90,속초,1986-04,10.3,22.2,1
90,속초,1986-05,15.1,29.3,5.7
90,속초,1986-06,16.9,32.7,10.3
90,속초,1986-07,19.5,32.9,12.6
90,속초,1986-08,22.9,32.2,15.1
90,속초,1986-09,18.5,26.9,11
90,속초,1986-10,12.6,22.8,1.5
90,속초,1986-11,7.7,18.8,-3
90,속초,1986-12,4.2,13.6,-6.1
90,속초,1987-01,.2,13.4,-8.8
90,속초,1987-02,1.6,17.7,-7.9
90,속초,1987-03,4.6,14,-5.5
90,속초,1987-04,11.3,26.8,.4
90,속초,1987-05,17.1,29.6,5.7
90,속초,1987-06,20,33.8,11.7
90,속초,1987-07,23.5,31.9,17.1
90,속초,1987-08,22.3,31.2,18
90,속초,1987-09,18.8,29.4,9.7
90,속초,1987-10,15.5,29,4.3
90,속초,1987-11,8.1,18.9,-5.9
90,속초,1987-12,3.9,17.8,-6.9
90,속초,1988-01,1.1,11.8,-10.8
90,속초,1988-02,-.4,11.4,-10.8
90,속초,1988-03,4.6,17.2,-5.5
90,속초,1988-04,12.7,27.5,3.1
90,속초,1988-05,16.9,31.7,7
90,속초,1988-06,19.5,29,13.3
90,속초,1988-07,21.3,33.2,14.1
90,속초,1988-08,24.4,32.9,17.4
90,속초,1988-09,20.1,26.3,11.6
90,속초,1988-10,15.8,25.6,3.6
90,속초,1988-11,7.9,19.2,-4.1
90,속초,1988-12,3.5,15.8,-9.5
90,속초,1989-01,1.5,8.5,-9.3
90,속초,1989-02,2.7,14.4,-7.5
90,속초,1989-03,5.9,17.9,-6.1
90,속초,1989-04,12.4,24.8,3.2
90,속초,1989-05,16.5,31.8,7.9
90,속초,1989-06,17.9,29.9,9
90,속초,1989-07,21,33.6,13.9
90,속초,1989-08,22.7,32.7,16.9
90,속초,1989-09,19.4,27.5,11.2
90,속초,1989-10,14.4,25,1.1
90,속초,1989-11,8,18.2,-5.9
90,속초,1989-12,3.5,17.3,-6.1
90,속초,1990-01,-1.4,10.7,-13.8
90,속초,1990-02,2.6,11.3,-5
90,속초,1990-03,6.9,17.9,-.6
90,속초,1990-04,10.5,21.9,2.4
90,속초,1990-05,16.1,30,7.5
90,속초,1990-06,19.2,32.2,13.7
90,속초,1990-07,21.4,33.2,14.9
90,속초,1990-08,24.7,32.8,17.8
90,속초,1990-09,19.3,28.3,12.7
90,속초,1990-10,15.1,24.2,5.6
90,속초,1990-11,11.1,21.9,-3.2
90,속초,1990-12,3.1,16.1,-9.1
90,속초,1991-01,-.7,8.5,-10.4
90,속초,1991-02,0,9.1,-13.6
90,속초,1991-03,4.1,18.1,-3.9
90,속초,1991-04,10.8,23.2,-2.7
90,속초,1991-05,15.5,29.6,5.2
90,속초,1991-06,21.1,32.1,12.8
90,속초,1991-07,23.3,32.4,17.3
90,속초,1991-08,21.8,31.9,13.7
90,속초,1991-09,19.9,28.4,10.5
90,속초,1991-10,14.5,29,5.4
90,속초,1991-11,8.6,19.4,-2.6
90,속초,1991-12,4,17.2,-9
90,속초,1992-01,1.7,12.3,-8.6
90,속초,1992-02,2.1,18.3,-7.7
90,속초,1992-03,5.6,18.8,-4.4
90,속초,1992-04,12,27.7,.7
90,속초,1992-05,14.8,28.1,5.1
90,속초,1992-06,18.9,28.3,10.8
90,속초,1992-07,24.7,35.7,16.7
90,속초,1992-08,22.3,30.8,16.9
90,속초,1992-09,20.3,31.7,11.1
90,속초,1992-10,14.1,23.4,6.1
90,속초,1992-11,8.4,18.7,-6.4
90,속초,1992-12,3.5,14.9,-7.4
90,속초,1993-01,.2,10.6,-10.3
90,속초,1993-02,2.5,19.1,-7.9
90,속초,1993-03,5.7,15.6,-5.6
90,속초,1993-04,11,26.9,1.3
90,속초,1993-05,15.2,30.6,6.2
90,속초,1993-06,17.1,30.1,10.6
90,속초,1993-07,19.7,28.6,13.9
90,속초,1993-08,21.3,29.6,15.9
90,속초,1993-09,20.2,28.2,12.4
90,속초,1993-10,14.2,27.6,2.5
90,속초,1993-11,9.8,23,-5.2
90,속초,1993-12,2.6,11.9,-7.6
90,속초,1994-01,.5,11.9,-9.8
90,속초,1994-02,1.7,12.1,-10.6
90,속초,1994-03,4.6,14.8,-5.6
90,속초,1994-04,11.8,23.5,1
90,속초,1994-05,17.2,29.9,7.2
90,속초,1994-06,19.4,29.4,11.1
90,속초,1994-07,26.8,35.3,18.7
90,속초,1994-08,26,34.8,16.2
90,속초,1994-09,20.8,30.9,11.9
90,속초,1994-10,14.8,24.7,4.2
90,속초,1994-11,10,22.3,-1.4
90,속초,1994-12,3.7,16.6,-11.9
90,속초,1995-01,.1,12.5,-11.3
90,속초,1995-02,2.1,12.7,-6.3
90,속초,1995-03,5.2,17,-2.7
90,속초,1995-04,11.5,23.1,.2
90,속초,1995-05,15.8,28.1,7.2
90,속초,1995-06,17.7,27.1,10.8
90,속초,1995-07,23.9,34.3,14.2
90,속초,1995-08,25.4,34.3,15.2
90,속초,1995-09,19.4,31.6,11.4
90,속초,1995-10,15.6,25.1,4.9
90,속초,1995-11,8.4,21.8,-2.5
90,속초,1995-12,1.1,10.6,-10.3
90,속초,1996-01,-.4,9.3,-9.9
90,속초,1996-02,.1,17.4,-14.3
90,속초,1996-03,4,16.5,-5.6
90,속초,1996-04,11.2,31.4,-2.4
90,속초,1996-05,14.2,31.2,6.7
90,속초,1996-06,18,29.9,12.1
90,속초,1996-07,22,34.6,12.8
90,속초,1996-08,23,33.1,14.4
90,속초,1996-09,20.2,29.2,12
90,속초,1996-10,14.5,25.2,3
90,속초,1996-11,7.4,21.2,-6.5
90,속초,1996-12,3.8,15.1,-8.9
90,속초,1997-01,-.4,9.7,-9.7
90,속초,1997-02,2,13.7,-5.8
90,속초,1997-03,7,20.9,-3.1
90,속초,1997-04,12.7,26.4,4.5
90,속초,1997-05,16.2,27.4,6
90,속초,1997-06,19.8,31.7,10.9
90,속초,1997-07,24.2,33.3,17.8
90,속초,1997-08,24.7,35.9,18.3
90,속초,1997-09,18.4,33.6,10.6
90,속초,1997-10,14.3,27,-.3
90,속초,1997-11,9.5,20.2,-1.5
90,속초,1997-12,3,14.7,-10.1
90,속초,1998-01,-.1,10.3,-13.1
90,속초,1998-02,2.8,14.6,-5.2
90,속초,1998-03,8.6,24.3,-1.1
90,속초,1998-04,13.4,32.1,1.3
90,속초,1998-05,17,29,6.1
90,속초,1998-06,18.4,30.6,10.1
90,속초,1998-07,21.6,31.3,15.6
90,속초,1998-08,23.1,31.4,17.8
90,속초,1998-09,21.1,29.2,14.3
90,속초,1998-10,16.8,23.7,7.4
90,속초,1998-11,8.9,23.9,-5.8
90,속초,1998-12,4.6,15.2,-5.4
90,속초,1999-01,1.8,11.9,-10.8
90,속초,1999-02,3,14.4,-10.4
90,속초,1999-03,5.6,17.3,-5.5
90,속초,1999-04,11.5,25.6,0
90,속초,1999-05,17,29.5,8.2
90,속초,1999-06,20.8,32.5,14.7
90,속초,1999-07,23.1,33.3,15.1
90,속초,1999-08,23.3,30.7,18.7
90,속초,1999-09,21.5,32,12.9
90,속초,1999-10,14.9,25,5
90,속초,1999-11,9.3,19.2,-2.4
90,속초,1999-12,3.1,12.4,-8.6
90,속초,2000-01,-.4,9.9,-10.9
90,속초,2000-02,-.1,9.2,-8.6
90,속초,2000-03,6.9,18.5,-4.2
90,속초,2000-04,11.2,24.1,2.4
90,속초,2000-05,14.3,30.5,6.2
90,속초,2000-06,19.2,33.3,9.7
90,속초,2000-07,24.8,33.6,17
90,속초,2000-08,24,33.7,17.9
90,속초,2000-09,18.6,32,11.2
90,속초,2000-10,14.5,23,5.1
90,속초,2000-11,7.8,19.9,-2.1
90,속초,2000-12,3.2,14.5,-9.9
90,속초,2001-01,-2.3,6.2,-14.6
90,속초,2001-02,1.2,16.2,-8.4
90,속초,2001-03,5.6,19.9,-6
90,속초,2001-04,12.3,25.2,1.2
90,속초,2001-05,17.2,31.2,6.5
90,속초,2001-06,20,34.2,12.9
90,속초,2001-07,23.4,31.3,15.7
90,속초,2001-08,22.4,30.9,14.6
90,속초,2001-09,20,29.3,9.6
90,속초,2001-10,15.9,24.9,7.6
90,속초,2001-11,8.8,20.2,-2.8
90,속초,2001-12,1.4,10.1,-6.6
90,속초,2002-01,.8,15.8,-11
90,속초,2002-02,4.2,14.2,-6.3
90,속초,2002-03,8.7,20.3,-1
90,속초,2002-04,12.2,29.6,2.5
90,속초,2002-05,15.6,28.4,4.8
90,속초,2002-06,19.5,33.1,11.9
90,속초,2002-07,21.9,36.6,17
90,속초,2002-08,22.7,34.6,15.6
90,속초,2002-09,19.1,34.1,12.1
90,속초,2002-10,13,24.5,.2
90,속초,2002-11,5.1,21,-3.5
90,속초,2002-12,1.2,17.6,-9.8
90,속초,2003-01,-1.6,11.3,-14.8
90,속초,2003-02,1.6,11.1,-9.8
90,속초,2003-03,4.5,19.9,-7.3
90,속초,2003-04,11,26.6,-.1
90,속초,2003-05,14.8,27.7,4.4
90,속초,2003-06,20.3,31.2,11.8
90,속초,2003-07,20.8,27.6,16.7
90,속초,2003-08,22.5,33.2,16.3
90,속초,2003-09,19.7,28.5,9.5
90,속초,2003-10,14.1,23,3.6
90,속초,2003-11,9.3,23.3,-2.9
90,속초,2003-12,2.9,12.8,-8.2
90,속초,2004-01,.5,9.6,-15.6
90,속초,2004-02,3.6,19.1,-7.9
90,속초,2004-03,6.9,22.9,-5.7
90,속초,2004-04,12.7,29,2.4
90,속초,2004-05,16.7,29.2,7.7
90,속초,2004-06,20.8,31.3,12.7
90,속초,2004-07,23.9,37.1,17
90,속초,2004-08,23.1,34.3,16.1
90,속초,2004-09,20.1,30.5,13.4
90,속초,2004-10,14.8,25.1,6.6
90,속초,2004-11,10.6,20.1,1.5
90,속초,2004-12,4.2,17.8,-6.3
90,속초,2005-01,-.1,9.8,-9.6
90,속초,2005-02,-.8,7.3,-13.1
90,속초,2005-03,4.2,18.1,-7.9
90,속초,2005-04,12.8,32,.4
90,속초,2005-05,14.4,29.7,6
90,속초,2005-06,20.6,33.2,12.6
90,속초,2005-07,24,34.4,17.4
90,속초,2005-08,25,36,16.6
90,속초,2005-09,20,32.2,13.3
90,속초,2005-10,15,27.7,4.5
90,속초,2005-11,9.8,22.4,-.7
90,속초,2005-12,-1.4,11.6,-13.1
90,속초,2006-01,.2,8.3,-9.6
90,속초,2006-02,1.5,16.1,-11.9
90,속초,2006-03,6,18.9,-6.4
90,속초,2006-04,9.5,25.6,1.9
90,속초,2006-05,14.4,29.8,3.8
90,속초,2006-06,18.4,30.8,12.1
90,속초,2006-07,21,32.6,15
90,속초,2006-08,25.2,33,16.7
90,속초,2006-09,19.1,27.4,10.9
90,속초,2006-10,17.1,29.3,8.4
90,속초,2006-11,8.5,20.6,-.8
90,속초,2006-12,2,11.3,-11.2
90,속초,2007-01,.7,8.9,-7.8
90,속초,2007-02,4.1,18.8,-8.6
90,속초,2007-03,6.6,19,-6
90,속초,2007-04,11.7,27.6,1.9
90,속초,2007-05,17.1,30.3,7.2
90,속초,2007-06,20.3,30.5,12.1
90,속초,2007-07,22.1,34.5,16.9
90,속초,2007-08,24.9,35.3,18.6
90,속초,2007-09,20.7,30,13
90,속초,2007-10,15.3,27.8,4.5
90,속초,2007-11,8.4,19.9,-4.1
90,속초,2007-12,3.5,11.8,-6.8
90,속초,2008-01,.3,10.7,-9.5
90,속초,2008-02,1.3,12.8,-9.8
90,속초,2008-03,7.3,17.7,-1.3
90,속초,2008-04,13.1,29.5,4.9
90,속초,2008-05,16.8,29.8,6.7
90,속초,2008-06,18.7,31.2,11.4
90,속초,2008-07,25.3,34.7,16.9
90,속초,2008-08,23.4,33,15.5
90,속초,2008-09,20.7,29.8,9.7
90,속초,2008-10,16.8,28.8,5
90,속초,2008-11,9.1,22.3,-5.2
90,속초,2008-12,3.6,14.5,-10.9
90,속초,2009-01,.2,10.5,-10
90,속초,2009-02,4.5,12.8,-7.1
90,속초,2009-03,7,25.7,-3
90,속초,2009-04,12.8,29.3,1.9
90,속초,2009-05,17.7,30.3,9.6
90,속초,2009-06,20.2,32.4,12.8
90,속초,2009-07,21.7,32,15.7
90,속초,2009-08,23.1,32.1,14.7
90,속초,2009-09,20,29,13.9
90,속초,2009-10,16.3,26.2,7.6
90,속초,2009-11,8.2,23.2,-3.7
90,속초,2009-12,2,11.3,-9.6
90,속초,2010-01,-.4,12.6,-11.6
90,속초,2010-02,1.5,14.2,-8.7
90,속초,2010-03,3.7,13.2,-2.2
90,속초,2010-04,9.1,20.3,.4
90,속초,2010-05,16,30.9,5
90,속초,2010-06,20.1,29.2,6.6
90,속초,2010-07,25,35.1,18.1
90,속초,2010-08,25.7,35.1,19.6
90,속초,2010-09,20.4,31.1,9.5
90,속초,2010-10,14.9,24.4,2.4
90,속초,2010-11,9.1,21.1,-1.9
90,속초,2010-12,2.8,17.7,-10.7
90,속초,2011-01,-2.7,6.3,-13.2
90,속초,2011-02,2.1,15.1,-9
90,속초,2011-03,5.3,18.7,-5.9
90,속초,2011-04,11.4,24.6,.9
90,속초,2011-05,14.3,26.6,6.4
90,속초,2011-06,20.2,35.3,11.5
90,속초,2011-07,22.3,30.7,17.7
90,속초,2011-08,24.8,35.7,18.7
90,속초,2011-09,20.4,29,12.3
90,속초,2011-10,14.9,26.4,4.6
90,속초,2011-11,11,19.3,-.5
90,속초,2011-12,1.3,9.7,-8.7
90,속초,2012-01,-.4,6.4,-8.9
90,속초,2012-02,.1,11,-14.3
90,속초,2012-03,5.3,19.4,-4.3
90,속초,2012-04,12.1,24.3,.5
90,속초,2012-05,16.4,27.8,9.6
90,속초,2012-06,19.8,29,13.6
90,속초,2012-07,23.9,34.7,17.2
90,속초,2012-08,24.4,31.3,18.1
90,속초,2012-09,19.6,29.3,11.7
90,속초,2012-10,15.8,24,6.2
90,속초,2012-11,7.6,16.9,-1.7
90,속초,2012-12,-.5,11.2,-11.8
90,속초,2013-01,-.8,10,-11.5
90,속초,2013-02,1.3,13.5,-14.1
90,속초,2013-03,6.3,18.8,-6.1
90,속초,2013-04,10.3,22.1,2
90,속초,2013-05,16.9,29,7
90,속초,2013-06,20.4,29.4,12.8
90,속초,2013-07,25.6,33.6,19.6
90,속초,2013-08,27.4,35.8,18.1
90,속초,2013-09,20.3,29.2,11.3
90,속초,2013-10,15.7,26,7.2
90,속초,2013-11,8.4,19.9,-4
90,속초,2013-12,2.7,13,-6.6
90,속초,2014-01,1.9,12.6,-8.8
90,속초,2014-02,1,16.7,-7.9
90,속초,2014-03,7.9,26.9,-4.2
90,속초,2014-04,13.3,27,.7
90,속초,2014-05,18.1,32.5,8.1
90,속초,2014-06,19.9,32.8,13.7
90,속초,2014-07,25.1,34.6,16.9
90,속초,2014-08,23.5,33.3,15.6
90,속초,2014-09,20.6,31,12.7
90,속초,2014-10,15.8,24.6,6.6
90,속초,2014-11,10.2,19.5,-1.9
90,속초,2014-12,.6,11.7,-10.8
90,속초,2015-01,1.8,12.2,-7.9
90,속초,2015-02,2.4,14.5,-10.4
90,속초,2015-03,6.6,21.4,-5
90,속초,2015-04,11.1,29.8,1.2
90,속초,2015-05,17.8,32.6,7.8
90,속초,2015-06,19.5,30.1,12.7
90,속초,2015-07,22.7,35.4,14.8
90,속초,2015-08,24.2,33,16.1
90,속초,2015-09,19.1,27.1,12.5
90,속초,2015-10,14.7,26.2,1
90,속초,2015-11,8.4,21.7,-3.2
90,속초,2015-12,3,10.9,-7.2
90,속초,2016-01,-1.2,11.5,-16.4
90,속초,2016-02,.8,10.3,-9.4
90,속초,2016-03,7,21.5,-7.6
90,속초,2016-04,12.6,29.3,3.6
90,속초,2016-05,17.2,29,7.3
90,속초,2016-06,20.6,30.5,12.6
90,속초,2016-07,22.9,31.9,17
90,속초,2016-08,25.5,35.9,15.3
90,속초,2016-09,20.4,28.6,13.2
90,속초,2016-10,15.3,24.2,3.3
90,속초,2016-11,8.4,20.8,-2.5
90,속초,2016-12,4.4,14.1,-6.1
90,속초,2017-01,.8,11.3,-11.2
90,속초,2017-02,3,14.7,-8.2
90,속초,2017-03,7,18.5,-2.8
90,속초,2017-04,14.8,30.8,2.6
90,속초,2017-05,18.7,34.3,9.3
90,속초,2017-06,19.8,29.7,9.9
90,속초,2017-07,25.6,34.9,18.9
90,속초,2017-08,23.7,32.4,16.4
90,속초,2017-09,20.8,28.4,13.1
90,속초,2017-10,14.5,25,4
90,속초,2017-11,7.8,20.4,-4
90,속초,2017-12,.7,11.4,-9.9
90,속초,2018-01,-1.4,11.9,-16.2
90,속초,2018-02,-.5,10.5,-13.2
90,속초,2018-03,8,24.7,-6.2
90,속초,2018-04,13,32.5,2
90,속초,2018-05,15.9,29.4,4.5
90,속초,2018-06,21.3,33.9,13.2
90,속초,2018-07,25,35.4,14.8
90,속초,2018-08,25.6,38.7,17.2
90,속초,2018-09,20,29,12.6
90,속초,2018-10,13.5,23.8,.3
90,속초,2018-11,9.2,19.2,-1.9
90,속초,2018-12,1.6,12.7,-11.4
90,속초,2019-01,1.7,12.8,-9
90,속초,2019-02,2.5,15.7,-7.3
90,속초,2019-03,8.2,21.6,-1.4
90,속초,2019-04,11.9,25.9,1.3
90,속초,2019-05,19.8,34.2,6.5
90,속초,2019-06,20,30.2,11.5
90,속초,2019-07,24.7,36.1,17.7
90,속초,2019-08,25.7,35.6,19.3
90,속초,2019-09,20.9,32.3,11.6
90,속초,2019-10,16.1,25,6.5
90,속초,2019-11,9.4,21.1,-1.2
90,속초,2019-12,4.2,14.4,-7.1
93,북춘천,2016-10,14.1,29,-1.9
93,북춘천,2016-11,5.1,19.5,-9.1
93,북춘천,2016-12,-.2,10.2,-12.1
93,북춘천,2017-01,-3.4,11.6,-17
93,북춘천,2017-02,-1.5,12.2,-15.7
93,북춘천,2017-03,4.6,19,-8.3
93,북춘천,2017-04,13.2,29.1,-.8
93,북춘천,2017-05,18.6,30.7,6.7
93,북춘천,2017-06,22.3,35,9.2
93,북춘천,2017-07,26.3,34.9,19.4
93,북춘천,2017-08,24.4,37.5,13.9
93,북춘천,2017-09,19.1,30.5,4.9
93,북춘천,2017-10,13.5,26.9,-3.7
93,북춘천,2017-11,3.2,18.8,-10.2
93,북춘천,2017-12,-4.3,8.6,-19
